id,title,depth,href
20.3,Basic joins,2,https://r4ds.hadley.nz/joins.html#sec-mutating-joins
20.3.1,Mutating joins,3,https://r4ds.hadley.nz/joins.html#mutating-joins
20.3.2,Specifying join keys,3,https://r4ds.hadley.nz/joins.html#specifying-join-keys
20.3.3,Filtering joins,3,https://r4ds.hadley.nz/joins.html#filtering-joins
20.3.4,Exercises,3,https://r4ds.hadley.nz/joins.html#exercises-1
20.4,How do joins work?,2,https://r4ds.hadley.nz/joins.html#how-do-joins-work
20.4.1,Row matching,3,https://r4ds.hadley.nz/joins.html#row-matching
20.4.2,Filtering joins,3,https://r4ds.hadley.nz/joins.html#filtering-joins-1
20.5,Non-equi joins,2,https://r4ds.hadley.nz/joins.html#sec-non-equi-joins
20.5.1,Cross joins,3,https://r4ds.hadley.nz/joins.html#cross-joins
20.5.2,Inequality joins,3,https://r4ds.hadley.nz/joins.html#inequality-joins
20.5.3,Rolling joins,3,https://r4ds.hadley.nz/joins.html#rolling-joins
20.5.4,Overlap joins,3,https://r4ds.hadley.nz/joins.html#overlap-joins
20.5.5,Exercises,3,https://r4ds.hadley.nz/joins.html#exercises-2
20.6,Summary,2,https://r4ds.hadley.nz/joins.html#summary
21,Spreadsheets,1,https://r4ds.hadley.nz/spreadsheets.html
21.1,Introduction,2,https://r4ds.hadley.nz/spreadsheets.html#introduction
21.2,Excel,2,https://r4ds.hadley.nz/spreadsheets.html#excel
21.2.1,Prerequisites,3,https://r4ds.hadley.nz/spreadsheets.html#prerequisites
21.2.2,Getting started,3,https://r4ds.hadley.nz/spreadsheets.html#getting-started
21.2.3,Reading Excel spreadsheets,3,https://r4ds.hadley.nz/spreadsheets.html#sec-reading-spreadsheets-excel
21.2.4,Reading worksheets,3,https://r4ds.hadley.nz/spreadsheets.html#reading-worksheets
21.2.5,Reading part of a sheet,3,https://r4ds.hadley.nz/spreadsheets.html#reading-part-of-a-sheet
21.2.6,Data types,3,https://r4ds.hadley.nz/spreadsheets.html#data-types
21.2.7,Writing to Excel,3,https://r4ds.hadley.nz/spreadsheets.html#sec-writing-to-excel
21.2.8,Formatted output,3,https://r4ds.hadley.nz/spreadsheets.html#formatted-output
21.2.9,Exercises,3,https://r4ds.hadley.nz/spreadsheets.html#exercises
21.3,Google Sheets,2,https://r4ds.hadley.nz/spreadsheets.html#google-sheets
21.3.1,Prerequisites,3,https://r4ds.hadley.nz/spreadsheets.html#prerequisites-1
21.3.2,Getting started,3,https://r4ds.hadley.nz/spreadsheets.html#getting-started-1
21.3.3,Reading Google Sheets,3,https://r4ds.hadley.nz/spreadsheets.html#reading-google-sheets
21.3.4,Writing to Google Sheets,3,https://r4ds.hadley.nz/spreadsheets.html#writing-to-google-sheets
21.3.5,Authentication,3,https://r4ds.hadley.nz/spreadsheets.html#authentication
21.3.6,Exercises,3,https://r4ds.hadley.nz/spreadsheets.html#exercises-1
21.4,Summary,2,https://r4ds.hadley.nz/spreadsheets.html#summary
22,Databases,1,https://r4ds.hadley.nz/databases.html
22.1,Introduction,2,https://r4ds.hadley.nz/databases.html#introduction
22.1.1,Prerequisites,3,https://r4ds.hadley.nz/databases.html#prerequisites
22.2,Database basics,2,https://r4ds.hadley.nz/databases.html#database-basics
22.3,Connecting to a database,2,https://r4ds.hadley.nz/databases.html#connecting-to-a-database
22.3.1,In this book,3,https://r4ds.hadley.nz/databases.html#in-this-book
22.3.2,Load some data,3,https://r4ds.hadley.nz/databases.html#sec-load-data
22.3.3,DBI basics,3,https://r4ds.hadley.nz/databases.html#dbi-basics
22.4,dbplyr basics,2,https://r4ds.hadley.nz/databases.html#dbplyr-basics
22.5,SQL,2,https://r4ds.hadley.nz/databases.html#sql
22.5.1,SQL basics,3,https://r4ds.hadley.nz/databases.html#sql-basics
22.5.2,SELECT,3,https://r4ds.hadley.nz/databases.html#select
22.5.3,FROM,3,https://r4ds.hadley.nz/databases.html#from
22.5.4,GROUP BY,3,https://r4ds.hadley.nz/databases.html#group-by
22.5.5,WHERE,3,https://r4ds.hadley.nz/databases.html#where
22.5.6,ORDER BY,3,https://r4ds.hadley.nz/databases.html#order-by
22.5.7,Subqueries,3,https://r4ds.hadley.nz/databases.html#subqueries
22.5.8,Joins,3,https://r4ds.hadley.nz/databases.html#joins
22.5.9,Other verbs,3,https://r4ds.hadley.nz/databases.html#other-verbs
22.5.10,Exercises,3,https://r4ds.hadley.nz/databases.html#exercises
22.6,Function translations,2,https://r4ds.hadley.nz/databases.html#sec-sql-expressions
22.7,Summary,2,https://r4ds.hadley.nz/databases.html#summary
23,Arrow,1,https://r4ds.hadley.nz/arrow.html
23.1,Introduction,2,https://r4ds.hadley.nz/arrow.html#introduction
23.1.1,Prerequisites,3,https://r4ds.hadley.nz/arrow.html#prerequisites
23.2,Getting the data,2,https://r4ds.hadley.nz/arrow.html#getting-the-data
23.3,Opening a dataset,2,https://r4ds.hadley.nz/arrow.html#opening-a-dataset
23.4,The parquet format,2,https://r4ds.hadley.nz/arrow.html#sec-parquet
23.4.1,Advantages of parquet,3,https://r4ds.hadley.nz/arrow.html#advantages-of-parquet
23.4.2,Partitioning,3,https://r4ds.hadley.nz/arrow.html#partitioning
23.4.3,Rewriting the Seattle library data,3,https://r4ds.hadley.nz/arrow.html#rewriting-the-seattle-library-data
23.5,Using dplyr with arrow,2,https://r4ds.hadley.nz/arrow.html#using-dplyr-with-arrow
23.5.1,Performance,3,https://r4ds.hadley.nz/arrow.html#sec-parquet-fast
23.5.2,Using dbplyr with arrow,3,https://r4ds.hadley.nz/arrow.html#using-dbplyr-with-arrow
23.6,Summary,2,https://r4ds.hadley.nz/arrow.html#summary
24,Hierarchical data,1,https://r4ds.hadley.nz/rectangling.html
24.1,Introduction,2,https://r4ds.hadley.nz/rectangling.html#introduction
24.1.1,Prerequisites,3,https://r4ds.hadley.nz/rectangling.html#prerequisites
24.2,Lists,2,https://r4ds.hadley.nz/rectangling.html#lists
24.2.1,Hierarchy,3,https://r4ds.hadley.nz/rectangling.html#hierarchy
24.2.2,List-columns,3,https://r4ds.hadley.nz/rectangling.html#list-columns
24.3,Unnesting,2,https://r4ds.hadley.nz/rectangling.html#unnesting
24.3.1,unnest_wider(),3,https://r4ds.hadley.nz/rectangling.html#unnest_wider
24.3.2,unnest_longer(),3,https://r4ds.hadley.nz/rectangling.html#unnest_longer
24.3.3,Inconsistent types,3,https://r4ds.hadley.nz/rectangling.html#inconsistent-types
